userid,ques_count,ans_count
73663,2,1
67986,4,1
50039,2,2
23851,2,1
27107,1,1
102852,3,37
79227,4,70
32429,18,2
79600,2,1
173,2,13
42498,9,5
52784,1,1
59073,1,1
69903,1,1
57082,7,1
77984,1,1
85517,1,2
110850,1,1
42424,3,2
18434,4,26
6458,2,3
31086,2,19
24703,5,1
18246,2,1
39513,2,7
105096,3,1
30210,3,1
112381,1,1
37109,3,4
80604,1,1
96653,3,1
76265,5,4
2742,1,1
90066,1,4
57148,3,1
9079,1,1
80034,2,1
42515,1,1
41728,1,42
41734,1,1
3530,1,3
63811,1,1
15850,2,1
13574,1,1
57727,8,1
16546,8,1
18951,1,1
83031,1,1
23710,4,5
18452,1,1
66861,1,1
76484,2,1
31457,1,6
17021,2,1
98970,4,1
4719,2,1
64096,1,8
52762,1,1
49617,1,1
35481,1,1
77618,2,1
89724,4,1
31582,1,2
53790,3,3
74791,1,1
47869,4,1
57904,1,1
64572,1,1
67307,1,1
52902,3,1
21625,1,1
4705,2,1
94609,1,1
52832,1,1
68783,1,2
79782,3,1
47531,1,1
59142,1,3
33188,1,1
13259,1,1
76625,1,1
8729,3,4
23800,3,1
4897,1,4
75890,1,2
75552,1,6
93816,3,3
17614,1,1
52925,1,1
12756,1,2
58736,12,5
62641,7,19
57099,3,1
86686,1,15
58635,1,1
88,5,1
71759,1,2
66194,1,1
105778,1,1
24984,6,1
78998,1,1
49577,1,1
54343,1,3
56985,8,1
24593,1,42
107215,1,1
103063,5,1
38472,1,1
37932,4,1
5257,1,1
75570,1,1
21044,2,4
10462,3,2
107231,1,1
95500,1,1
66901,2,1
62128,1,1
110147,1,1
111961,1,7
69515,1,1
289,2,4
42945,3,1
96244,1,4
47783,1,1
28175,24,344
97950,1,1
33338,14,4
110413,1,1
98775,11,7
87726,1,1
51044,4,1
54252,1,10
7739,2,1
39198,2,2
83663,3,2
5179,1,7
46674,1,2
38657,5,13
64758,4,2
32958,1,4
43846,2,1
24714,1,1
13335,1,1
59389,1,1
158,7,3
74246,2,1
21232,5,6
6567,4,1
67332,1,1
43455,13,3
846,2,2
24011,2,1
54229,7,6
5043,13,3
58259,1,1
63896,1,1
12942,1,11
80221,21,4
80775,1,1
84830,2,1
100007,2,1
59595,1,1
108346,1,1
68389,2,2
85331,1,3
51481,1,2
13285,3,10
52350,1,4
57691,5,1
44808,9,1
104959,4,1
32686,2,9
38339,5,25
28285,1,1
41000,2,4
19172,2,1
3050,1,1
87795,3,1
57380,1,1
5211,7,14
90404,7,1
83770,8,10
66022,1,1
5184,2,1
76779,9,3
30464,4,1
9420,1,79
74724,1,1
90518,3,7
16855,1,1
61522,10,2
83791,4,72
50899,5,2
68818,1,2
17987,1,1
68630,1,1
35847,1,1
46433,11,1
86244,5,1
107036,1,1
10465,1,2
80212,1,1
56624,3,2
6478,1,30
14009,2,1
30359,5,6
79186,4,1
66029,5,1
68639,2,1
79516,2,1
90319,1,1
27432,2,54
80860,3,5
68025,8,13
108997,2,1
91705,7,1
426,3,2
14518,1,4
41886,1,45
941,1,18
2433,1,6
19212,13,2
40378,1,1
1138,8,1
56433,1,2
63481,1,1
29810,3,1
92076,5,1
35650,1,3
40029,4,2
59033,1,1
52972,5,1
5143,6,15
58551,1,1
14672,4,2
43508,1,1
57610,8,1
91251,2,1
27906,1,1
110762,1,1
74140,4,1
33681,5,1
53985,1,1
33020,14,6
2647,12,4
77052,1,3
44083,7,1
43801,2,1
15445,1,4
45374,2,81
16104,1,1
79728,4,1
84845,1,1
5023,1,1
82809,1,6
33603,3,25
56195,1,11
49017,3,1
61563,1,5
8553,1,1
12384,1,37
43497,1,5
24157,3,1
12363,5,14
9174,3,1
71297,1,20
96529,3,1
28694,2,1
63471,2,1
23416,1,7
90275,1,1
8030,1,1
76209,1,2
42078,2,1
295,2,1
52300,2,16
76811,12,1
18139,9,1
23492,3,20
27003,2,5
65559,7,1
29064,1,3
74294,2,1
52738,3,1
42681,4,2
74036,2,1
59174,1,1
91563,2,1
5344,1,1
7738,1,3
102964,1,1
71533,1,1
45610,31,1
91465,2,28
30370,2,2
791,1,8
108536,2,1
92050,2,50
63933,1,1
82921,1,1
