userid,ques_count,ans_count,comment_count
11,1,2,2
26,10,16,6
34,1,2,2
36,2,1,4
51,1,2,7
62,1,3,11
75,1,25,44
82,5,10,6
84,12,12,43
97,15,27,22
113,2,1,5
116,1,1,5
118,1,5,7
122,19,1,15
156,1,3,17
158,7,3,18
173,2,13,20
201,21,72,78
227,3,2,20
229,1,2,3
250,3,3,2
289,2,4,15
295,2,1,3
303,22,125,200
322,1,3,38
375,1,5,13
378,4,3,8
386,3,2,9
387,2,1,1
403,1,6,7
413,1,3,1
418,2,9,1
426,3,2,3
430,4,1,9
434,5,31,23
454,1,4,1
456,1,2,1
464,1,1,1
474,3,1,4
554,1,3,4
555,1,1,4
588,1,2,1
676,1,28,91
684,4,5,16
690,1,1,5
723,3,5,14
754,1,1,4
791,1,8,8
793,5,2,1
802,5,4,10
836,6,427,1256
837,1,1,1
843,27,40,48
846,2,2,1
847,6,29,53
867,2,19,20
890,4,2,4
906,3,3,4
922,1,1,1
941,1,18,10
974,3,1,2
979,4,6,9
1048,2,5,3
1077,1,23,19
1093,5,3,5
1097,9,1,4
1127,4,3,1
1131,3,3,10
1138,8,1,25
1163,1,1,2
1241,2,7,27
1244,3,2,5
1256,1,15,29
1272,1,1,2
1279,1,24,78
1283,2,1,2
1301,1,6,13
1330,6,648,129
1406,3,3,7
1426,20,28,96
2452,1,89,160
2454,5,6,9
2487,1,1,1
2511,4,8,22
2515,1,13,11
2576,3,35,41
2614,3,1,2
2647,12,4,28
2723,17,14,53
2742,1,1,9
2750,4,10,7
2817,2,1,2
2841,2,2,2
2854,2,1,3
2861,7,2,11
2920,2,2,6
2932,1,45,34
2958,1,1,1
3024,10,8,18
3044,7,3,18
3050,1,1,2
3070,3,30,41
3077,1,7,4
3108,3,1,2
3132,1,3,6
3151,17,15,38
3159,3,1,5
3232,1,1,4
3281,5,2,1
3314,41,2,31
3400,1,1,1
3430,2,11,3
3466,9,19,47
3503,4,1,5
3530,1,3,2
3591,2,1,5
3592,1,1,3
4619,4,1,4
4647,1,5,1
4676,1,2,3
4697,1,1,2
4705,2,1,2
4719,2,1,4
4774,1,1,2
4824,1,1,1
4871,1,1,2
4897,1,4,4
4978,5,1,5
5023,1,1,2
5041,2,17,20
5043,13,3,22
5091,34,31,41
5103,2,1,2
5110,1,1,1
5143,6,15,17
5144,1,2,9
5179,1,7,7
5180,1,1,2
5211,7,14,21
5224,6,4,16
5246,1,1,11
5247,1,5,6
5266,1,1,4
5279,1,4,17
5297,1,1,1
5316,1,2,7
5344,1,1,3
5380,2,2,9
6403,5,2,7
6433,4,2,7
6458,2,3,1
6478,1,30,41
6518,1,1,1
6550,5,32,112
6554,1,3,1
6567,4,1,5
7720,3,4,13
7738,1,3,7
7739,2,1,2
7763,1,11,9
7842,1,1,2
7848,4,7,41
7922,2,1,3
7961,1,2,1
7966,10,4,9
7969,2,8,10
7999,2,1,2
8005,1,9,56
8030,1,1,1
8037,1,1,1
8041,1,32,23
8152,2,12,11
8191,1,3,5
8206,1,3,5
8214,3,1,3
8236,2,1,1
8237,1,2,3
8251,1,2,2
8284,1,4,1
8310,1,1,1
8338,5,1,10
8417,2,1,1
8432,16,1,12
8517,12,10,8
8560,5,98,193
8650,4,3,8
8729,3,4,2
8752,2,17,62
8820,102,108,267
8842,2,1,5
8878,1,195,196
8951,2,1,1
8953,1,6,10
9035,4,2,4
9053,6,2,12
9079,1,1,1
9123,6,74,150
9174,3,1,2
9191,5,5,16
9197,6,2,5
9219,1,1,3
9257,6,14,9
9322,5,1,1
9388,3,2,2
9420,1,79,120
9465,3,5,10
9489,1,1,2
9497,1,1,2
9565,1,1,3
9637,2,2,4
9663,4,1,4
9728,3,12,6
9766,1,3,3
9768,1,4,2
9793,21,1,28
9814,1,3,5
