id,reputation,comment_count,age
54917,111,1,2
9287,23,1,6
70308,101,1,2
80396,21,1,1
70316,43,1,2
45774,181,1,3
4839,161,1,6
90964,11,1,1
109820,31,1,0
90955,111,1,1
45827,167,1,3
45852,171,1,3
45859,11,1,3
45865,101,1,3
45868,1,1,3
45872,41,1,3
90933,101,1,1
90901,13,1,1
90854,11,1,1
45909,11,1,3
45929,103,1,3
4868,111,1,6
90845,131,1,1
45938,101,1,3
4886,113,1,6
45961,11,1,3
45996,11,1,3
46026,133,1,3
90830,101,1,1
46061,1,1,3
46076,101,1,3
46113,1,1,3
90814,103,1,1
90797,101,1,1
46150,101,1,3
4887,41,1,6
46158,101,1,3
46159,101,1,3
46174,111,1,3
46187,1,1,3
46192,1,1,3
90726,101,1,1
90709,1,1,1
46272,181,1,3
4889,21,1,6
90672,1,1,1
90652,101,1,1
46307,101,1,3
46313,23,1,3
46315,111,1,3
46319,143,1,3
90639,3,1,1
46329,1,1,3
46334,21,1,3
46351,143,1,3
90629,1,1,1
90625,33,1,1
90622,11,1,1
90582,111,1,1
46395,101,1,3
4910,33,1,6
112148,121,1,0
46466,1,1,3
46487,131,1,3
90569,21,1,1
4973,131,1,6
46504,11,1,3
90547,101,1,1
90531,11,1,1
46538,21,1,3
90518,144,1,1
46542,56,1,3
46543,123,1,3
46545,11,1,3
90502,101,1,1
109790,101,1,0
46595,53,1,3
46598,101,1,3
46620,51,1,3
90465,101,1,1
46652,21,1,3
46654,11,1,3
46672,101,1,3
46683,101,1,3
46697,101,1,3
46707,101,1,3
46719,101,1,3
46740,1783,1,3
90441,21,1,1
90421,9,1,1
90407,28,1,1
46766,109,1,3
4999,33,1,6
46783,115,1,3
90369,21,1,1
46793,101,1,3
46799,11,1,3
46800,113,1,3
46868,31,1,3
46869,31,1,3
90368,99,1,1
46896,101,1,3
46921,133,1,3
46939,101,1,3
46968,101,1,3
90353,11,1,1
46981,121,1,3
90349,55,1,1
46997,11,1,3
47021,1,1,3
47022,206,1,3
90327,1,1,1
5004,31,1,6
90320,101,1,1
47099,101,1,3
47126,141,1,3
5010,1,1,6
47141,11,1,3
47144,143,1,3
47166,161,1,3
90319,31,1,1
47170,21,1,3
47202,71,1,3
90289,11,1,1
47205,11,1,3
47208,101,1,3
47225,1,1,3
47237,131,1,3
47239,111,1,3
47250,111,1,3
90262,101,1,1
47273,101,1,3
90256,155,1,1
47286,131,1,3
112143,3,1,0
47290,113,1,3
47299,3,1,3
47309,173,1,3
90247,99,1,1
47323,101,1,3
47330,1,1,3
47331,11,1,3
47338,101,1,3
5029,211,1,6
47354,121,1,3
90242,1,1,1
47360,1,1,3
109767,101,1,0
90224,13,1,1
47375,33,1,3
90218,11,1,1
47377,23,1,3
112140,101,1,0
90177,101,1,1
47414,256,1,3
90166,1,1,1
47467,135,1,3
90159,1,1,1
47475,1,1,3
90156,1,1,1
90151,17,1,1
47497,43,1,3
47513,101,1,3
109717,121,1,0
47557,201,1,3
47561,81,1,3
109668,21,1,0
47564,101,1,3
47568,31,1,3
109633,21,1,0
47581,101,1,3
90087,11,1,1
47623,111,1,3
5066,11,1,6
47631,101,1,3
47635,121,1,3
47637,41,1,3
47643,1,1,3
47659,11,1,3
47676,11,1,3
47693,3,1,3
47698,11,1,3
47699,11,1,3
90066,78,1,1
47736,111,1,3
47750,111,1,3
47773,3,1,3
47777,109,1,3
47782,1,1,3
47783,121,1,3
47793,1,1,3
47835,153,1,3
109610,101,1,0
89934,101,1,1
5083,54,1,6
47859,101,1,3
47867,19,1,3
47872,111,1,3
47874,1,1,3
47877,111,1,3
47883,111,1,3
89928,3,1,1
47911,101,1,3
89906,11,1,1
47923,13,1,3
47940,1,1,3
48968,113,1,3
49003,21,1,3
5086,131,1,6
89901,141,1,1
49044,101,1,3
5095,141,1,6
89868,111,1,1
49072,11,1,3
49075,99,1,3
49098,3,1,3
49104,109,1,3
89860,1,1,1
49114,7,1,3
49117,101,1,3
89857,1,1,1
89849,11,1,1
49145,101,1,3
49159,33,1,3
49162,181,1,3
49172,101,1,3
49225,131,1,3
89799,101,1,1
49227,121,1,3
89783,1,1,1
89780,41,1,1
89740,11,1,1
89733,11,1,1
49297,21,1,3
49299,101,1,3
89725,3,1,1
49382,11,1,3
49426,131,1,3
89708,126,1,1
49477,121,1,3
49488,101,1,3
49491,3,1,3
89636,11,1,1
49501,133,1,3
89599,101,1,1
49515,101,1,3
49522,13,1,3
49524,121,1,3
49537,33,1,3
49538,111,1,3
5099,51,1,6
49569,11,1,3
89582,43,1,1
49581,1,1,3
49584,21,1,3
89549,101,1,1
49597,101,1,3
49598,43,1,3
49601,131,1,3
49603,121,1,3
49620,21,1,3
49625,21,1,3
49637,135,1,3
89524,101,1,1
49673,117,1,3
49678,21,1,3
49692,1,1,3
49697,603,1,3
49704,701,1,3
89473,11,1,1
49737,123,1,3
49762,21,1,3
49778,101,1,3
5110,103,1,6
49782,121,1,3
49795,165,1,3
49807,121,1,3
49826,41,1,3
89450,13,1,1
5126,23,1,6
49852,321,1,3
49855,101,1,3
49868,1,1,3
49878,155,1,3
109598,3,1,0
89447,101,1,1
49923,111,1,3
89446,11,1,1
49941,113,1,3
49967,21,1,3
49980,43,1,3
5153,121,1,6
89427,101,1,1
50011,101,1,3
50019,11,1,3
5161,11,1,6
50025,113,1,3
50030,151,1,3
50038,13,1,3
89397,101,1,1
50077,29,1,3
50094,1,1,3
109588,23,1,0
50106,131,1,3
50127,1,1,3
50130,11,1,3
109496,131,1,0
50154,11,1,3
50157,101,1,3
50163,21,1,3
50168,101,1,3
109486,1,1,0
50175,13,1,3
50179,139,1,3
50191,121,1,3
89345,21,1,1
50206,113,1,3
50208,5,1,3
50249,31,1,3
50256,161,1,3
89334,11,1,1
50273,11,1,3
50275,111,1,3
5198,31,1,6
50300,11,1,3
50307,446,1,3
50331,131,1,3
50338,111,1,3
50354,41,1,3
89332,101,1,1
50379,181,1,3
50403,79,1,3
50405,261,1,3
50412,31,1,3
50416,1,1,3
50440,123,1,3
89294,11,1,1
50444,103,1,3
50445,11,1,3
89290,101,1,1
50454,1,1,3
50468,1,1,3
89278,9,1,1
50475,101,1,3
50478,157,1,3
50495,111,1,3
50496,1,1,3
109438,111,1,0
89267,1,1,1
89255,23,1,1
5241,171,1,6
50532,185,1,3
89254,101,1,1
50541,113,1,3
50577,101,1,3
50593,101,1,3
50623,11,1,3
50652,101,1,3
50654,101,1,3
50668,131,1,3
50681,101,1,3
50689,61,1,3
50703,13,1,3
109429,11,1,0
50719,3,1,3
50732,123,1,3
50739,381,1,3
50746,143,1,3
50748,1,1,3
50757,171,1,3
89193,41,1,1
50802,11,1,3
89187,1,1,1
89170,111,1,1
50829,21,1,3
89168,165,1,1
89167,21,1,1
50841,21,1,3
5256,111,1,6
89160,1,1,1
89157,11,1,1
89156,21,1,1
50869,33,1,3
109408,3,1,0
50896,71,1,3
89122,1,1,1
50939,9,1,3
89097,11,1,1
109400,13,1,0
50959,101,1,3
5273,161,1,6
50973,15,1,3
89094,101,1,1
89087,23,1,1
51031,11,1,3
89060,11,1,1
51049,1,1,3
51058,101,1,3
51071,116,1,3
5280,141,1,6
51099,121,1,3
88979,121,1,1
88965,31,1,1
51133,101,1,3
51141,447,1,3
51143,111,1,3
51147,111,1,3
51152,101,1,3
51163,131,1,3
51192,61,1,3
51208,41,1,3
88954,111,1,1
51210,161,1,3
88953,113,1,1
51248,31,1,3
51255,11,1,3
88948,41,1,1
88944,173,1,1
51290,1,1,3
88919,11,1,1
51315,97,1,3
51321,121,1,3
51322,33,1,3
51362,101,1,3
5290,163,1,6
51419,101,1,2
5297,121,1,6
51446,111,1,2
51454,1,1,2
51461,101,1,2
51462,13,1,2
88907,111,1,1
51478,121,1,2
51486,101,1,2
51487,109,1,2
109390,11,1,0
88901,123,1,1
51503,1,1,2
109377,1,1,0
51512,133,1,2
88828,31,1,1
51525,101,1,2
88819,11,1,1
5313,101,1,6
51570,11,1,2
51573,11,1,2
88799,123,1,1
5314,121,1,6
51592,1,1,2
51597,101,1,2
51601,9,1,2
51604,11,1,2
51605,61,1,2
109375,61,1,0
5329,101,1,6
51638,116,1,2
51639,123,1,2
51646,21,1,2
88784,21,1,1
51671,1,1,2
51672,129,1,2
51686,101,1,2
88763,101,1,1
88729,39,1,1
51716,21,1,2
51717,121,1,2
51720,1,1,2
51733,133,1,2
88703,98,1,1
51744,1,1,2
88678,101,1,1
51829,11,1,2
51839,286,1,2
109367,101,1,0
51852,11,1,2
51856,41,1,2
5369,131,1,6
51865,103,1,2
5370,101,1,6
51897,1,1,2
51904,21,1,2
109357,1,1,0
51931,123,1,2
51937,131,1,2
51948,1,1,2
51964,101,1,2
88646,11,1,1
51970,1,1,2
51977,1,1,2
51982,1,1,2
51993,111,1,2
52008,101,1,2
88644,13,1,1
88614,23,1,1
52096,183,1,2
88595,101,1,1
88583,11,1,1
52116,1,1,2
6387,200,1,6
88527,1,1,1
88524,43,1,1
88522,33,1,1
52207,21,1,2
52237,111,1,2
52241,119,1,2
88518,31,1,1
88487,1,1,1
52287,101,1,2
52290,31,1,2
88480,11,1,1
88476,111,1,1
88469,21,1,1
52335,11,1,2
52336,101,1,2
52338,1,1,2
52342,23,1,2
52353,51,1,2
109338,21,1,0
52379,201,1,2
88424,93,1,1
52427,1,1,2
52433,33,1,2
88359,1,1,1
52440,129,1,2
52442,31,1,2
88351,119,1,1
52445,11,1,2
6411,101,1,6
52462,11,1,2
52473,11,1,2
52475,13,1,2
88350,101,1,1
52483,101,1,2
6418,51,1,6
52509,133,1,2
52510,33,1,2
109259,113,1,0
52527,123,1,2
52532,21,1,2
6458,130,1,6
52546,213,1,2
52553,113,1,2
52572,153,1,2
52578,13,1,2
52581,101,1,2
88332,101,1,1
52595,121,1,2
52600,1,1,2
52611,121,1,2
52617,121,1,2
52623,86,1,2
52628,1,1,2
52648,143,1,2
6465,303,1,6
88309,151,1,1
52678,165,1,2
52680,101,1,2
52695,21,1,2
52697,43,1,2
52698,101,1,2
88294,101,1,1
6469,93,1,6
88282,101,1,1
52739,1,1,2
88276,11,1,1
52756,101,1,2
52762,103,1,2
52768,133,1,2
88258,41,1,1
109242,101,1,0
88251,449,1,1
52810,101,1,2
88234,101,1,1
6486,103,1,6
88226,31,1,1
52832,111,1,2
88206,113,1,1
52852,103,1,2
52860,21,1,2
52879,171,1,2
52885,21,1,2
88181,21,1,1
52913,21,1,2
52918,11,1,2
52921,101,1,2
52922,101,1,2
52926,11,1,2
88168,11,1,1
52940,141,1,2
52950,111,1,2
52952,121,1,2
52956,1,1,2
52964,1,1,2
52972,63,1,2
6496,79,1,6
6506,21,1,6
88166,101,1,1
52997,21,1,2
88153,11,1,1
53007,101,1,2
109214,101,1,0
6518,133,1,6
88135,101,1,1
53039,95,1,2
6523,63,1,6
53060,101,1,2
53079,101,1,2
53081,101,1,2
88094,21,1,1
53088,119,1,2
53107,3,1,2
88093,31,1,1
53115,11,1,2
53120,11,1,2
88083,101,1,1
53139,31,1,2
53148,3,1,2
88080,133,1,1
88065,13,1,1
53173,101,1,2
53181,1,1,2
53184,23,1,2
53204,559,1,2
88061,1,1,1
53222,131,1,2
53224,3,1,2
53266,41,1,2
53269,1,1,2
88059,23,1,1
88037,31,1,1
88033,111,1,1
109167,121,1,0
53291,101,1,2
53299,1,1,2
53300,1,1,2
88028,1,1,1
6536,51,1,6
88026,101,1,1
53336,1,1,2
53337,101,1,2
53345,101,1,2
53352,145,1,2
88025,113,1,1
88020,121,1,1
88019,101,1,1
53362,161,1,2
53369,101,1,2
87996,71,1,1
109158,131,1,0
53378,1,1,2
53388,1,1,2
53390,21,1,2
53399,1,1,2
87991,11,1,1
