id,reputation,post_count,age
86060,101,1,1
5,215,1,6
63658,111,1,2
63665,11,1,2
63681,133,1,2
63691,73,1,2
63701,11,1,2
63712,11,1,2
63724,111,1,2
63730,3,1,2
63735,11,1,2
63736,23,1,2
63737,13,1,2
63753,21,1,2
63791,101,1,2
63813,111,1,2
63817,1,1,2
63818,11,1,2
63833,111,1,2
63834,13,1,2
63840,11,1,2
63851,21,1,2
63865,11,1,2
63866,3,1,2
63867,11,1,2
63869,111,1,2
63875,101,1,2
63881,21,1,2
63924,61,1,2
63939,1,1,2
63952,21,1,2
63955,101,1,2
63963,3,1,2
63969,111,1,2
63999,41,1,2
64001,1,1,2
64002,11,1,2
64007,11,1,2
64013,1,1,2
64019,111,1,2
64023,9,1,2
64024,3,1,2
64025,23,1,2
64041,13,1,2
64058,113,1,2
64066,21,1,2
64072,11,1,2
64076,101,1,2
64080,1,1,2
64083,1,1,2
64094,1,1,2
64099,126,1,2
64101,1,1,2
64106,141,1,2
64110,1,1,2
64112,111,1,2
64115,21,1,2
64120,1,1,2
64126,39,1,2
64139,101,1,2
64147,101,1,2
64151,121,1,2
64175,9,1,2
64179,3,1,2
64199,109,1,2
64215,11,1,2
64228,111,1,2
64244,11,1,2
64247,11,1,2
64276,123,1,2
64288,21,1,2
64293,1,1,2
64294,13,1,2
64298,11,1,2
64301,13,1,2
64304,111,1,2
64308,21,1,2
64310,151,1,2
64315,103,1,2
64320,3,1,2
64321,21,1,2
64337,121,1,2
64341,11,1,2
64347,1,1,2
64351,1,1,2
64362,101,1,2
64370,11,1,2
64381,131,1,2
64385,13,1,2
64389,99,1,2
64392,11,1,2
64394,3,1,2
64399,21,1,2
64410,113,1,2
64417,111,1,2
64425,121,1,2
64449,11,1,2
64451,11,1,2
64452,11,1,2
64460,21,1,2
64464,21,1,2
64465,1,1,2
64485,9,1,2
64494,101,1,2
64498,111,1,2
64499,11,1,2
64504,73,1,2
64506,5,1,2
64513,11,1,2
64543,1,1,2
64545,1,1,2
64549,11,1,2
64552,41,1,2
64558,13,1,2
64562,11,1,2
64563,103,1,2
64565,111,1,2
